dates,JPYBEI5Y,JPYBEI10Y,USDBEI5Y,USDBEI10Y,JPYZeroRate1M,JPYZeroRate5Y,JPYZeroRate10Y,USDZeroRate1M,USDZeroRate5Y,USDZeroRate10Y,JPYFXImpliedRate1M,JPYFXImpliedRate5Y,JPYFXImpliedRate10Y,USDJPYIV1MATM,USDJPYIV5YATM,USDJPYIV10YATM,USDJPY,NK225,SP500,NK225VolatilityIndex,SPXVolatilityIndex
2000/1/31 0:00,,,,2.37%,,,,5.89%,7.45%,7.55%,0.23%,,,0.11,,,107.32,19539.7,1394.46,,0.2495
2000/2/1 0:00,,,,2.31%,,,,5.91%,7.41%,7.47%,6.10%,,,0.117,,,107.85,19423.38,1409.28,,0.2345
2000/2/2 0:00,,,,2.30%,,,,5.92%,7.43%,7.49%,0.62%,,,0.1205,,,108.16,19578.91,1409.12,,0.2312
2000/2/3 0:00,,,,2.19%,,,,5.90%,7.38%,7.39%,0.28%,,,0.118,,,107.56,19786.42,1424.97,,0.2201
2000/2/4 0:00,,,,2.27%,,,,5.89%,7.47%,7.47%,0.26%,,,0.111,,,107.19,19763.13,1424.37,,0.2154
2000/2/7 0:00,,,,2.34%,,,,5.89%,7.51%,7.53%,0.31%,,,0.116,,,108.62,19945.43,1424.24,,0.2279
2000/2/8 0:00,,,,2.31%,,,,5.89%,7.46%,7.46%,0.32%,,,0.12175,,,109.47,19868.88,1441.72,,0.2125
2000/2/9 0:00,,,,2.35%,,,,5.89%,7.47%,7.54%,0.32%,,,0.123,,,108.79,20007.77,1411.7,,0.229
2000/2/10 0:00,,,,2.35%,,,,5.89%,7.51%,7.66%,0.39%,,,0.111,,,109.27,19710.02,1416.83,,0.2307
2000/2/11 0:00,,,,2.29%,,,,5.89%,7.44%,7.57%,0.35%,,,0.1105,,,108.82,,1387.12,,0.2442
2000/2/14 0:00,,,,2.24%,,,,5.88%,7.42%,7.55%,6.11%,,,0.114,,,108.96,19556.46,1389.94,,0.2438
2000/2/15 0:00,,,,2.25%,,,,5.88%,7.44%,7.57%,-0.23%,,,0.109,,,109.22,19367.83,1402.05,,0.2292
2000/2/16 0:00,,,,2.24%,,,,5.88%,7.47%,7.59%,6.02%,,,0.115,,,109.44,19599.18,1387.67,,0.2351
2000/2/17 0:00,,,,2.27%,,,,5.88%,7.49%,7.59%,0.35%,,,0.1175,,,110.56,19791.4,1388.26,,0.2317
2000/2/18 0:00,,,,2.21%,,,,5.88%,7.46%,7.54%,0.37%,,,0.1165,,,111.09,19789.03,1346.09,,0.26
2000/2/21 0:00,,,,2.21%,,,,5.88%,7.47%,7.54%,0.33%,,,0.116,,,111.26,19543.75,,,
2000/2/22 0:00,,,,2.10%,,,,5.88%,7.35%,7.42%,12.22%,,,0.1175,,,110.69,19390.58,1352.17,,0.2586
2000/2/23 0:00,,,,2.14%,,,,5.88%,7.39%,7.47%,0.70%,,,0.1205,,,111.07,19519.55,1360.69,,0.2389
2000/2/24 0:00,,,,2.09%,,,,5.88%,7.33%,7.44%,0.00%,,,0.1195,,,111.37,19571.44,1353.43,,0.2438
2000/2/25 0:00,,,,2.05%,,,,5.88%,7.27%,7.44%,0.45%,,,0.1225,,,110.29,19817.88,1333.36,,0.252
2000/2/28 0:00,,,,2.14%,,,,5.91%,7.34%,7.50%,0.52%,,,0.129,,,109.45,19720.1,1348.05,,0.2468
2000/2/29 0:00,,,,2.12%,,,,5.92%,7.34%,7.46%,0.36%,,,0.1275,,,110.33,19959.52,1366.42,,0.2337
2000/3/1 0:00,,,,2.11%,,,,5.93%,7.32%,7.44%,0.33%,,,0.138,,,107.28,20081.67,1379.19,,0.2164
2000/3/2 0:00,,,,2.13%,,,,5.94%,7.32%,7.43%,0.32%,,,0.136,,,107.74,20065.11,1381.76,,0.2106
2000/3/3 0:00,,,,2.15%,,,,5.94%,7.30%,7.40%,0.32%,,,0.128,,,107.9,19927.54,1409.17,,0.1921
2000/3/6 0:00,,,,2.18%,,,,5.95%,7.30%,7.40%,0.47%,,,0.1275,,,107.54,19796.35,1391.28,,0.215
2000/3/7 0:00,,,,2.15%,,,,5.96%,7.31%,7.43%,0.44%,,,0.133,,,106.12,19944.24,1355.62,,0.2431
2000/3/8 0:00,,,,2.16%,,,,5.97%,7.33%,7.42%,0.27%,,,0.125,,,107.17,19766.8,1366.7,,0.2382
2000/3/9 0:00,,,,2.13%,,,,5.99%,7.31%,7.42%,0.26%,,,0.1265,,,106.53,19662.33,1401.69,,0.2221
2000/3/10 0:00,,,,2.17%,,,,6.00%,7.37%,7.47%,0.28%,,,0.1215,,,106.35,19750.4,1395.07,,0.2124
2000/3/13 0:00,,,,2.18%,,,,6.00%,7.36%,7.48%,0.15%,,,0.1295,,,105.52,19189.93,1383.62,,0.2285
2000/3/14 0:00,,,,2.12%,,,,6.02%,7.33%,7.44%,0.45%,,,0.138,,,105.12,19141.84,1359.15,,0.2441
2000/3/15 0:00,,,,2.13%,,,,6.04%,7.34%,7.44%,0.26%,,,0.1355,,,105.69,19078.6,1392.15,,0.2234
2000/3/16 0:00,,,,2.08%,,,,6.07%,7.30%,7.37%,-0.05%,,,0.142,,,105.37,19253.23,1458.47,,0.2077
2000/3/17 0:00,,,,2.03%,,,,6.10%,7.27%,7.29%,0.27%,,,0.1385,,,106.73,19566.32,1464.47,,0.2237
2000/3/20 0:00,,,,2.02%,,,,6.11%,7.28%,7.32%,0.34%,,,0.138,,,106.3,,1456.63,,0.2296
2000/3/21 0:00,,,,1.99%,,,,6.12%,7.27%,7.28%,0.45%,,,0.132,,,106.78,19602.36,1493.87,,0.217
2000/3/22 0:00,,,,2.00%,,,,6.12%,7.27%,7.33%,0.33%,,,0.131,,,107.11,19733.59,1500.64,,0.2149
2000/3/23 0:00,,,,2.01%,,,,6.13%,7.25%,7.26%,0.30%,,,0.1265,,,107.24,19704.6,1527.35,,0.2226
2000/3/24 0:00,,,,2.10%,,,,6.13%,7.34%,7.36%,0.26%,,,0.1245,,,106.87,19958.08,1527.46,,0.2331
2000/3/27 0:00,,,,2.09%,,,,6.13%,7.37%,7.36%,0.24%,,,0.12725,,,106.79,20281.03,1523.86,,0.2453
2000/3/28 0:00,,,,2.08%,,,,6.13%,7.35%,7.40%,0.23%,,,0.135,,,105.84,20374.34,1507.73,,0.2486
2000/3/29 0:00,,,,2.07%,,,,6.13%,7.36%,7.43%,-1.26%,,,0.14,,,105.69,20706.65,1508.52,,0.241
2000/3/30 0:00,,,,2.05%,,,,6.13%,7.28%,7.39%,0.26%,,,0.1395,,,105.57,20441.5,1487.92,,0.2547
2000/3/31 0:00,,,,2.00%,,,,6.13%,7.24%,7.28%,0.24%,,,0.1795,,,102.78,20337.32,1498.58,,0.2411
2000/4/3 0:00,,,,1.97%,,,,6.13%,7.19%,7.25%,0.23%,,,0.164,,,104.9,20726.99,1505.97,,0.2403
2000/4/4 0:00,,,,1.91%,,,,6.13%,7.10%,7.20%,0.29%,,,0.1525,,,105.16,20594.93,1494.73,,0.2712
2000/4/5 0:00,,,,1.89%,,,,6.13%,7.09%,7.20%,0.18%,,,0.142,,,104.88,20462.77,1487.37,,0.2841
2000/4/6 0:00,,,,1.93%,,,,6.13%,7.15%,7.22%,0.21%,,,0.1395,,,104.77,20223.61,1501.34,,0.2715
2000/4/7 0:00,,,,1.86%,,,,6.13%,7.10%,7.15%,0.23%,,,0.13325,,,105.37,20252.81,1516.35,,0.2439
2000/4/10 0:00,,,,1.78%,,,,6.13%,7.06%,7.18%,0.21%,,,0.13125,,,106.44,20619.06,1504.46,,0.2599
2000/4/11 0:00,,,,1.89%,,,,6.13%,7.13%,7.23%,0.22%,,,0.1295,,,106.92,20522.52,1500.59,,0.2725
2000/4/12 0:00,,,,1.91%,,,,6.13%,7.16%,7.27%,0.26%,,,0.13725,,,105.78,20833.21,1467.17,,0.2898
2000/4/13 0:00,,,,1.88%,,,,6.13%,7.11%,7.23%,0.23%,,,0.1335,,,105.88,20526.42,1440.51,,0.294
2000/4/14 0:00,,,,1.85%,,,,6.13%,7.12%,7.22%,0.22%,,,0.1425,,,104.74,20434.68,1356.56,,0.3349
2000/4/17 0:00,,,,2.04%,,,,6.13%,7.14%,7.29%,0.23%,,,0.15175,,,104.54,19008.64,1401.44,,0.2895
2000/4/18 0:00,,,,2.08%,,,,6.13%,7.15%,7.26%,0.25%,,,0.13925,,,104.74,18969.52,1441.61,,0.2612
2000/4/19 0:00,,,,2.02%,,,,6.15%,7.12%,7.21%,0.24%,,,0.1345,,,104.82,19086.62,1427.47,,0.2702
2000/4/20 0:00,,,,2.02%,,,,6.15%,7.13%,7.22%,0.29%,,,0.13,,,105.77,18959.32,1434.54,,0.2585
2000/4/21 0:00,,,,2.02%,,,,6.15%,7.13%,7.24%,0.22%,,,0.129,,,105.77,18252.68,,,
2000/4/24 0:00,,,,2.08%,,,,6.15%,7.17%,7.26%,0.26%,,,0.13325,,,105.78,18480.15,1429.86,,0.2737
2000/4/25 0:00,,,,2.14%,,,,6.16%,7.25%,7.34%,0.26%,,,0.1345,,,106.31,18272.33,1477.44,,0.2524
2000/4/26 0:00,,,,2.14%,,,,6.18%,7.26%,7.35%,0.26%,,,0.1275,,,106.27,18134.31,1460.99,,0.2697
2000/4/27 0:00,,,,2.25%,,,,6.20%,7.36%,7.44%,0.21%,,,0.125,,,106.43,18019.17,1464.92,,0.2619
2000/4/28 0:00,,,,2.25%,,,,6.29%,7.37%,7.41%,0.23%,,,0.124,,,108.18,17973.7,1452.43,,0.262
2000/5/1 0:00,,,,2.32%,,,,6.29%,7.41%,7.47%,0.22%,,,0.1245,,,108.76,18403.08,1468.25,,0.2588
2000/5/2 0:00,,,,2.33%,,,,6.36%,7.44%,7.52%,0.18%,,,0.118,,,108.41,18439.36,1446.29,,0.285
2000/5/3 0:00,,,,2.42%,,,,6.38%,7.55%,7.69%,0.20%,,,0.1195,,,109.02,,1415.1,,0.3163
2000/5/4 0:00,,,,2.42%,,,,6.43%,7.63%,7.75%,0.24%,,,0.1235,,,108.03,,1409.57,,0.3077
2000/5/5 0:00,,,,2.43%,,,,6.44%,7.73%,7.84%,0.25%,,,0.1245,,,108.56,,1432.63,,0.2753
2000/5/8 0:00,,,,2.46%,,,,6.46%,7.76%,7.88%,0.47%,,,0.125,,,109,18199.96,1424.17,,0.282
2000/5/9 0:00,,,,2.39%,,,,6.48%,7.72%,7.84%,0.24%,,,0.126,,,109.19,17844.54,1412.14,,0.2893
2000/5/10 0:00,,,,2.28%,,,,6.50%,7.62%,7.81%,0.23%,,,0.12625,,,109.53,17701.47,1383.05,,0.2987
2000/5/11 0:00,,,,2.26%,,,,6.52%,7.66%,7.75%,0.22%,,,0.1305,,,108.52,16882.46,1407.81,,0.2776
2000/5/12 0:00,,,,2.32%,,,,6.54%,7.79%,7.88%,0.18%,,,0.126,,,108.47,17357.86,1420.96,,0.2605
2000/5/15 0:00,,,,2.24%,,,,6.57%,7.75%,7.85%,0.41%,,,0.1245,,,109.3,17313.69,1452.36,,0.2486
2000/5/16 0:00,,,,2.23%,,,,6.58%,7.73%,7.75%,0.43%,,,0.1245,,,109.66,17551.25,1466.04,,0.2434
2000/5/17 0:00,,,,2.29%,,,,6.61%,7.78%,7.84%,0.25%,,,0.124,,,109.32,17404.03,1447.8,,0.2398
2000/5/18 0:00,,,,2.32%,,,,6.61%,7.81%,7.90%,0.25%,,,0.125,,,108.65,17031.63,1437.21,,0.2396
2000/5/19 0:00,,,,2.25%,,,,6.61%,7.75%,7.85%,0.28%,,,0.1295,,,106.98,16858.17,1406.95,,0.2544
2000/5/22 0:00,,,,2.21%,,,,6.61%,7.71%,7.79%,0.47%,,,0.128,,,107.14,16386.01,1400.72,,0.26
2000/5/23 0:00,,,,2.20%,,,,6.61%,7.70%,7.79%,0.24%,,,0.12825,,,106.42,16318.73,1373.86,,0.2587
2000/5/24 0:00,,,,2.27%,,,,6.61%,7.72%,7.78%,0.23%,,,0.126,,,107.8,16044.44,1399.05,,0.2432
2000/5/25 0:00,,,,2.20%,,,,6.61%,7.65%,7.72%,0.24%,,,0.12025,,,107.35,16247.82,1381.52,,0.2458
2000/5/26 0:00,,,,2.14%,,,,6.62%,7.61%,7.66%,0.25%,,,0.1215,,,107.15,16008.14,1378.02,,0.2447
2000/5/29 0:00,,,,,,,,6.62%,7.61%,7.66%,0.23%,,,0.124,,,107.04,16245.44,,,
2000/5/30 0:00,,,,2.17%,,,,6.64%,7.68%,7.73%,0.21%,,,0.1275,,,106.55,16228.9,1422.45,,0.2362
2000/5/31 0:00,,,,2.10%,,,,6.65%,7.63%,7.64%,0.45%,,,0.124,,,107.66,16332.45,1420.6,,0.2365
2000/6/1 0:00,,,,2.05%,,,,6.66%,7.45%,7.50%,0.21%,,,0.1175,,,108.52,16694.3,1448.81,,0.2236
2000/6/2 0:00,,,,2.05%,,,,6.66%,7.40%,7.42%,0.24%,,,0.12,,,108.03,16800.06,1477.26,,0.2148
2000/6/5 0:00,,,,2.01%,,,,6.62%,7.33%,7.31%,-0.06%,,,0.1235,,,107.33,17201.79,1467.63,,0.2271
2000/6/6 0:00,,,,2.01%,,,,6.63%,7.34%,7.34%,0.36%,,,0.13325,,,105.8,17170.08,1457.84,,0.2305
2000/6/7 0:00,,,,2.03%,,,,6.63%,7.40%,7.40%,0.16%,,,0.135,,,105.32,17144.96,1471.36,,0.2248
2000/6/8 0:00,,,,2.01%,,,,6.64%,7.41%,7.42%,0.16%,,,0.131,,,105.84,17004.34,1461.67,,0.2277
2000/6/9 0:00,,,,2.02%,,,,6.64%,7.41%,7.41%,0.18%,,,0.123,,,106.91,16861.91,1456.95,,0.2214
2000/6/12 0:00,,,,1.99%,,,,6.65%,7.31%,7.33%,-0.01%,,,0.121,,,106.85,16980.61,1446,,0.2232
2000/6/13 0:00,,,,2.04%,,,,6.65%,7.30%,7.35%,0.20%,,,0.1205,,,106.93,16914.95,1469.44,,0.2167
2000/6/14 0:00,,,,1.96%,,,,6.65%,7.24%,7.30%,0.37%,,,0.11375,,,106.63,16654.42,1470.54,,0.2148
2000/6/15 0:00,,,,1.97%,,,,6.65%,7.22%,7.26%,0.15%,,,0.1125,,,106.46,16338.7,1478.73,,0.2068
2000/6/16 0:00,,,,1.90%,,,,6.65%,7.15%,7.17%,0.13%,,,0.11,,,106.41,16318.31,1464.46,,0.205
2000/6/19 0:00,,,,1.93%,,,,6.65%,7.19%,7.19%,0.14%,,,0.117,,,105.91,16591.35,1486,,0.2063
2000/6/20 0:00,,,,1.94%,,,,6.65%,7.24%,7.26%,0.34%,,,0.121,,,105.53,16907.55,1475.95,,0.2088
2000/6/21 0:00,,,,2.03%,,,,6.65%,7.33%,7.36%,0.16%,,,0.12275,,,105.55,17210.08,1479.13,,0.2061
2000/6/22 0:00,,,,2.03%,,,,6.65%,7.33%,7.37%,0.13%,,,0.132,,,104.57,17106.01,1452.18,,0.22
2000/6/23 0:00,,,,2.09%,,,,6.65%,7.37%,7.42%,0.16%,,,0.1345,,,104.75,16963.21,1441.48,,0.2234
2000/6/26 0:00,,,,2.01%,,,,6.67%,7.30%,7.34%,-0.30%,,,0.11775,,,105.66,16925.4,1455.31,,0.2245
2000/6/27 0:00,,,,2.00%,,,,6.67%,7.29%,7.33%,0.33%,,,0.1175,,,105.36,17279.06,1450.55,,0.218
2000/6/28 0:00,,,,2.00%,,,,6.68%,7.29%,7.35%,0.19%,,,0.1125,,,105.57,17370.17,1454.82,,0.2029
2000/6/29 0:00,,,,1.94%,,,,6.65%,7.22%,7.29%,-0.16%,,,0.1125,,,105.32,17475.9,1442.39,,0.197
2000/6/30 0:00,,,,1.96%,,,,6.64%,7.22%,7.28%,0.26%,,,0.114,,,106.12,17411.05,1454.6,,0.1954
2000/7/3 0:00,,,,1.95%,,,,6.64%,7.16%,7.23%,0.22%,,,0.116,,,105.69,17614.66,1469.54,,0.1983
2000/7/4 0:00,,,,,,,,6.63%,7.16%,7.23%,0.22%,,,0.11,,,106.1,17470.15,,,
2000/7/5 0:00,,,,1.95%,,,,6.63%,7.12%,7.16%,0.27%,,,0.112,,,106.96,17435.95,1446.23,,0.2116
2000/7/6 0:00,,,,2.02%,,,,6.63%,7.15%,7.24%,0.24%,,,0.1125,,,107.44,17282.37,1456.67,,0.2094
2000/7/7 0:00,,,,1.98%,,,,6.63%,7.12%,7.19%,0.23%,,,0.1145,,,107.91,17398.24,1478.9,,0.1922
2000/7/10 0:00,,,,2.00%,,,,6.63%,7.15%,7.22%,0.23%,,,0.1165,,,107.01,17572.68,1475.62,,0.2033
2000/7/11 0:00,,,,2.02%,,,,6.63%,7.15%,7.25%,0.52%,,,0.117,,,107.12,17504.36,1480.88,,0.2011
2000/7/12 0:00,,,,2.04%,,,,6.63%,7.17%,7.27%,0.28%,,,0.1125,,,108.09,17342.13,1492.92,,0.2003
2000/7/13 0:00,,,,1.98%,,,,6.63%,7.11%,7.18%,0.30%,,,0.113,,,108.13,17036.9,1495.84,,0.2003
2000/7/14 0:00,,,,2.05%,,,,6.63%,7.22%,7.29%,0.26%,,,0.1135,,,107.72,17142.9,1509.98,,0.1932
2000/7/17 0:00,,,,2.09%,,,,6.63%,7.28%,7.36%,0.56%,,,0.108,,,108,17286.83,1510.49,,0.1945
2000/7/18 0:00,,,,2.11%,,,,6.63%,7.29%,7.37%,0.20%,,,0.1075,,,108.14,16945.07,1493.74,,0.1975
2000/7/19 0:00,,,,2.11%,,,,6.63%,7.31%,7.42%,0.19%,,,0.1055,,,108.29,16983.57,1481.96,,0.1965
2000/7/20 0:00,,,,1.98%,,,,6.63%,7.12%,7.22%,0.19%,,,0.10925,,,107.67,,1495.57,,0.1894
2000/7/21 0:00,,,,1.98%,,,,6.62%,7.15%,7.21%,0.18%,,,0.105,,,108.92,16811.49,1480.19,,0.1894
2000/7/24 0:00,,,,2.01%,,,,6.62%,7.18%,7.25%,0.35%,,,0.105,,,108.78,16547.12,1464.29,,0.1992
2000/7/25 0:00,,,,2.01%,,,,6.62%,7.16%,7.26%,0.19%,,,0.10475,,,109.12,16573.59,1474.47,,0.1939
2000/7/26 0:00,,,,2.01%,,,,6.62%,7.14%,7.24%,0.20%,,,0.105,,,109.19,16502.61,1452.42,,0.1967
2000/7/27 0:00,,,,1.99%,,,,6.62%,7.13%,7.22%,0.21%,,,0.105,,,109.16,16182.01,1449.62,,0.196
2000/7/28 0:00,,,,2.02%,,,,6.62%,7.17%,7.27%,0.20%,,,0.1055,,,109.59,15838.57,1419.89,,0.2084
2000/7/31 0:00,,,,2.02%,,,,6.62%,7.18%,7.28%,0.17%,,,0.106,,,109.43,15727.49,1430.83,,0.2074
2000/8/1 0:00,,,,1.98%,,,,6.62%,7.13%,7.23%,0.17%,,,0.1055,,,109.33,16099.67,1438.1,,0.2055
2000/8/2 0:00,,,,1.99%,,,,6.62%,7.10%,7.21%,0.18%,,,0.1065,,,108.99,16206.19,1438.7,,0.2
2000/8/3 0:00,,,,1.96%,,,,6.62%,7.08%,7.17%,0.19%,,,0.1085,,,108.33,15814.44,1452.56,,0.1999
2000/8/4 0:00,,,,1.91%,,,,6.62%,7.02%,7.10%,0.21%,,,0.108,,,108.65,15667.36,1462.93,,0.1862
2000/8/7 0:00,,,,1.96%,,,,6.62%,7.04%,7.13%,0.60%,,,0.10525,,,109.1,16002.71,1479.32,,0.1903
2000/8/8 0:00,,,,1.91%,,,,6.62%,7.00%,7.09%,0.19%,,,0.1055,,,108.62,15820.11,1482.8,,0.1879
2000/8/9 0:00,,,,1.91%,,,,6.62%,7.00%,7.10%,0.14%,,,0.109,,,107.82,16034.6,1472.87,,0.1918
2000/8/10 0:00,,,,1.77%,,,,6.62%,6.97%,7.05%,0.30%,,,0.109,,,108.66,15975.65,1460.25,,0.1919
2000/8/11 0:00,,,,1.78%,,,,6.62%,7.05%,7.08%,0.34%,,,0.1005,,,108.53,16117.5,1471.84,,0.1855
2000/8/14 0:00,,,,1.76%,,,,6.62%,7.00%,7.04%,0.35%,,,0.103,,,109.43,16153.91,1491.56,,0.1788
2000/8/15 0:00,,,,1.78%,,,,6.62%,7.03%,7.06%,0.36%,,,0.1045,,,109.02,16298.29,1484.43,,0.1798
2000/8/16 0:00,,,,1.81%,,,,6.62%,7.05%,7.10%,0.39%,,,0.104,,,108.54,16356.03,1479.85,,0.1802
2000/8/17 0:00,,,,1.77%,,,,6.62%,7.04%,7.07%,0.40%,,,0.1005,,,108.53,16161.03,1496.07,,0.1748
2000/8/18 0:00,,,,1.74%,,,,6.62%,7.02%,7.07%,0.38%,,,0.1005,,,108.41,16280.49,1491.72,,0.1705
2000/8/21 0:00,,,,1.75%,,,,6.62%,7.02%,7.08%,0.59%,,,0.101,,,108.7,16040.18,1499.48,,0.1735
2000/8/22 0:00,,,,1.75%,,,,6.62%,7.00%,7.06%,0.40%,,,0.10125,,,108.32,16454.74,1498.13,,0.1747
2000/8/23 0:00,,,,1.72%,,,,6.62%,6.95%,7.00%,0.40%,,,0.11,,,106.96,16436.65,1505.97,,0.1738
2000/8/24 0:00,,,,1.73%,,,,6.62%,6.94%,6.98%,0.40%,,,0.1055,,,106.85,16670.82,1508.31,,0.1704
2000/8/25 0:00,,,,1.74%,,,,6.62%,6.94%,7.00%,0.39%,,,0.1025,,,106.86,16911.33,1506.45,,0.1653
2000/8/28 0:00,,,,1.79%,,,,6.62%,6.98%,7.03%,0.63%,,,0.108,,,106.53,17181.12,1514.09,,0.1654
2000/8/29 0:00,,,,1.81%,,,,6.62%,7.01%,7.09%,0.00%,,,0.109,,,106.05,17141.75,1509.84,,0.1689
2000/8/30 0:00,,,,1.79%,,,,6.63%,7.02%,7.08%,0.64%,,,0.10725,,,106.44,16901.67,1502.59,,0.1769
2000/8/31 0:00,,,,1.73%,,,,6.63%,6.94%,7.02%,0.45%,,,0.1075,,,106.67,16861.26,1517.68,,0.1684
2000/9/1 0:00,,,,1.70%,,,,6.63%,6.84%,6.94%,0.44%,,,0.1065,,,106,16739.78,1520.77,,0.1753
2000/9/4 0:00,,,,1.71%,,,,6.62%,6.86%,6.95%,-0.41%,,,0.1115,,,105.87,16688.21,,,
2000/9/5 0:00,,,,1.71%,,,,6.62%,6.85%,6.96%,0.61%,,,0.111,,,105.84,16452.27,1507.08,,0.1982
2000/9/6 0:00,,,,1.75%,,,,6.62%,6.91%,7.02%,0.81%,,,0.1135,,,105.89,16399.87,1492.25,,0.2079
2000/9/7 0:00,,,,1.76%,,,,6.62%,6.93%,7.06%,0.41%,,,0.121,,,105.17,16300.46,1502.51,,0.1942
2000/9/8 0:00,,,,1.77%,,,,6.62%,6.92%,7.06%,0.43%,,,0.1115,,,106.12,16501.55,1494.5,,0.1846
2000/9/11 0:00,,,,1.79%,,,,6.62%,6.94%,7.07%,0.20%,,,0.1065,,,106.12,16130.9,1489.26,,0.184
2000/9/12 0:00,,,,1.80%,,,,6.62%,6.92%,7.07%,0.80%,,,0.102,,,106.83,16040.23,1481.99,,0.1859
2000/9/13 0:00,,,,1.76%,,,,6.62%,6.87%,7.00%,0.41%,,,0.0955,,,107.09,16190.52,1484.91,,0.1832
2000/9/14 0:00,,,,1.80%,,,,6.62%,6.89%,7.06%,0.43%,,,0.094,,,107.58,16213.28,1480.87,,0.1826
2000/9/15 0:00,,,,1.83%,,,,6.62%,6.87%,7.08%,0.42%,,,0.092,,,107.12,,1465.81,,0.1852
2000/9/18 0:00,,,,1.87%,,,,6.62%,6.84%,7.07%,0.00%,,,0.096,,,106.9,16061.16,1444.51,,0.2025
2000/9/19 0:00,,,,1.86%,,,,6.62%,6.87%,7.08%,0.40%,,,0.097,,,106.99,16124.19,1459.9,,0.1954
2000/9/20 0:00,,,,1.90%,,,,6.62%,6.91%,7.12%,0.64%,,,0.1015,,,106.53,16458.31,1451.34,,0.1993
2000/9/21 0:00,,,,1.84%,,,,6.62%,6.87%,7.04%,0.45%,,,0.09975,,,106.63,16311.05,1449.05,,0.2018
2000/9/22 0:00,,,,1.87%,,,,6.62%,6.87%,7.02%,0.45%,,,0.0985,,,107.92,15818.25,1448.72,,0.2074
2000/9/25 0:00,,,,1.85%,,,,6.62%,6.85%,7.01%,0.04%,,,0.097,,,107.77,15992.9,1439.03,,0.2141
2000/9/26 0:00,,,,1.81%,,,,6.62%,6.81%,6.97%,0.40%,,,0.096,,,107.59,15928.62,1427.21,,0.2188
2000/9/27 0:00,,,,1.85%,,,,6.62%,6.82%,7.00%,0.58%,,,0.0945,,,107.32,15639.95,1426.57,,0.2167
2000/9/28 0:00,,,,1.84%,,,,6.62%,6.79%,6.97%,-0.05%,,,0.0935,,,107.63,15626.96,1458.29,,0.1947
